id1;id2;dist;edge_id
27562057;27561430;158;38740339
27562057;27562150;17;38740336
27562057;27562431;128;39681505
27562066;27562046;19;37510532
27562067;27562101;35;37510529
27562070;27561971;69;38880901
27562075;27562066;28;37510530
27562081;27561827;44;38880903
27562081;27561918;46;38405305
27562081;27561971;207;38880924
27562084;27561900;28;38126230
27562092;27562038;19;38126215
27562092;27562351;91;38126212
27562101;27562075;58;37510528
27562101;27562369;57;37691646
27562104;27562427;61;38880763
27562111;27561945;35;38880764
27562111;27561982;97;37562760
27562111;27562275;72;37562757
27562112;27562038;32;38126189
27562112;27562228;51;38126186
27562112;27562304;36;38126243
27562113;27562708;143;38882255
27562133;27561996;46;37562759
27562133;27562265;146;38854232
27562133;27562621;96;37562752
27562134;27562431;58;37545441
27562142;27561954;29;39752101
27562147;27561890;48;38579120
27562147;27562924;201;38899595
27562150;27561762;100;39754668
27562150;27562057;17;38740337
27562150;27562708;109;38740334
27562159;27562275;61;38880759
27562163;27562831;128;38175375
27562168;27562002;31;39594138
27562168;27562445;51;38660707
27562179;27561453;114;38405302
27562179;27561653;260;38405313
27562179;27561829;146;38405316
27562179;27562465;83;38405299
27562192;27561922;43;38660684
27562192;27562168;15;38660709
27562199;27561322;221;37545339
27562199;27562264;97;38405312
27562199;27562671;90;37545338
27562222;27562192;10;38660708
27562222;27562456;93;39594118
27562228;27562009;36;37545333
27562228;27562112;51;38126187
27562257;27562381;24;38906693
27562261;27562315;27;38880703
27562264;27561932;54;38881797
27562264;27562199;97;38405311
27562264;27562282;42;38405310
27562265;27562133;146;38854233
27562275;27562111;72;37562756
27562275;27562159;61;38880758
27562275;27562550;105;37562755
27562282;27562264;42;38405309
27562282;27562384;113;38739863
27562304;27562396;19;38126242
27562304;27562396;83;39758391
27562314;27562643;66;38880769
27562315;27562261;27;38880702
27562315;27562325;10;38880701
27562315;27562660;70;38880709
27562325;27562315;10;38880700
27562325;27562677;70;38880707
27562325;27562677;111;38880695
27562327;27562753;86;38877864
27562346;27561916;85;38126220
27562346;27562009;98;38230364
27562346;27563131;343;38230361
27562351;27562092;91;38126213
27562365;27562007;61;38660664
27562369;27562387;62;39577042
27562369;27562536;29;37691645
27562372;27562232;47;39601471
27562372;27562453;15;37616139
27562381;27562257;24;38906694
27562381;27562524;96;37561157
27562381;27562642;65;37561154
27562384;27561827;290;38739861
27562384;27562282;113;38739864
27562384;27563021;136;38739896
27562387;27562369;62;39577043
27562396;27562304;83;39758392
27562396;27562558;48;38126241
27562400;27562142;47;37804014
27562410;27562671;218;37545348
27562427;27561981;106;38880754
27562427;27562104;61;38880762
27562427;27562643;61;38880753
27562431;27562057;128;39681504
27562431;27562134;58;37545442
27562431;27562585;31;37545439
27562445;27562222;68;38660706
27562445;27562664;43;39468493
27562453;27562857;132;37616138
27562456;27562222;93;39594119
27562456;27562497;14;39594116
27562456;27562813;111;39468484
27562456;27563147;160;38660675
27562465;27561769;182;37547031
27562465;27562179;83;38405300
27562465;27563109;162;37547028
27562482;27562733;68;38880779
27562497;27561729;127;37515834
27562497;27562456;14;39594117
27562497;27562509;15;37561160
27562497;27563454;237;37515833
27562509;27562497;15;37561161
27562509;27562524;28;37561158
27562524;27562381;96;37561156
27562524;27562509;28;37561159
27562524;27562863;76;39215000
27562534;27562743;82;38880761
27562536;27562830;59;37691658
27562544;27562607;16;39468479
27562544;27562620;72;39468478
27562550;27562275;105;37562754
27562550;27562858;164;37562749
27562550;27563101;130;37562773
27562558;27562228;69;37545332
27562564;27563758;297;37804002
27562576;27562400;32;37804013
27562585;27562431;31;37545440
27562585;27562795;43;37545437
27562585;27563215;304;38882345
27562607;27562544;16;39468480
27562607;27562682;22;39468475
27562607;27562685;58;39468482
27562612;27561653;172;39558912
27562612;27563005;135;38880943
27562613;27562798;48;38880773
27562613;27562798;48;38880770
27562618;27562823;75;38880783
27562620;27562544;51;39468481
27562620;27562544;72;39468477
27562620;27562685;15;39468474
27562621;27562133;96;37562753
27562621;27562660;28;38880698
27562621;27562743;26;37562750
27562638;27562803;31;39681155
27562642;27562381;65;37561155
27562642;27562898;123;39213884
27562642;27562970;78;37561177
27562643;27562314;66;38880768
27562643;27562427;61;38880752
27562643;27562733;67;38880751
27562660;27562315;70;38880708
27562660;27562621;28;38880699
27562660;27562677;10;38880696
27562664;27562813;37;39468456
27562671;27562199;90;37545337
27562671;27562410;218;37545347
27562671;27563232;157;37545336
27562677;27562325;70;38880706
27562677;27562325;111;38880694
27562677;27562660;10;38880697
27562682;27562607;22;39468476
27562682;27562776;23;39468471
27562685;27562620;15;39468473
